unom,Наименование,Количество обращений
18128,Отсутствуют актуальные мгновенные значения,15
18129,Отсутствуют актуальные суточные значения,14
18129,Отсутствуют актуальные мгновенные значения,12
18130,Отсутствие освещения в местах общего пользования,26
18130,Протечка с кровли,10
18134,Отсутствуют актуальные мгновенные значения,92
18134,Отсутствие освещения в местах общего пользования,72
18135,Отсутствие освещения в местах общего пользования,26
18135,Отсутствуют актуальные мгновенные значения,20
18136,Недогрев ГВС,120
18136,Отсутствие ГВС в доме,108
18137,Повреждение системы электропроводки/щитового оборудования,70
18137,Недогрев ГВС,44
18138,Отсутствуют актуальные мгновенные значения,36
18138,Загрязнение воды,14
18139,Отсутствие освещения в местах общего пользования,21
18139,Отсутствует циркуляция ГВС,15
18140,Отсутствие освещения в местах общего пользования,28
18140,Загрязнение/замусоренность подъезда,27
18141,Лифт требует ремонта,98
18141,Загрязнение/замусоренность подъезда,73
18142,Отсутствие освещения в местах общего пользования,70
18142,Загрязнение/замусоренность подъезда,48
18143,Отсутствие освещения в местах общего пользования,31
18143,Загрязнение/замусоренность подъезда,29
18144,Низкий уровень сигнала GSM,35
18144,Отсутствие освещения в местах общего пользования,20
18145,Низкий уровень сигнала GSM,16
18145,Отсутствуют актуальные мгновенные значения,14
18146,Отсутствие освещения в местах общего пользования,12
18146,Отсутствуют актуальные мгновенные значения,12
18147,Отсутствие освещения в местах общего пользования,54
18147,Низкий уровень сигнала GSM,22
18148,Нет связи с ПУ,348
18148,Низкий уровень сигнала GSM,34
18149,Нет связи с ПУ,292
18149,Отсутствуют актуальные суточные значения,22
18150,Отсутствие освещения в местах общего пользования,40
18150,Загрязнение/замусоренность подъезда,21
18151,Отсутствуют актуальные суточные значения,22
18151,Низкий уровень сигнала GSM,15
18152,Отсутствие освещения в местах общего пользования,39
18152,Отсутствуют актуальные мгновенные значения,18
18153,Отсутствие освещения в местах общего пользования,20
18153,Загрязнение/замусоренность подъезда,18
18154,Низкий уровень сигнала GSM,27
18154,Отсутствуют актуальные мгновенные значения,14
18155,Отсутствие освещения в местах общего пользования,26
18155,Загрязнение/замусоренность подъезда,17
18156,Отсутствуют актуальные суточные значения,20
18156,Отсутствие освещения в местах общего пользования,18
18157,Лифт требует ремонта,41
18157,Отсутствие освещения в местах общего пользования,40
18158,Загрязнение/замусоренность подъезда,43
18158,Отсутствуют актуальные суточные значения,27
18159,Отсутствует циркуляция ГВС,18
18159,Отсутствие освещения в местах общего пользования,15
18161,Загрязнение/замусоренность подъезда,41
18161,Отсутствие ГВС в доме,19
18162,Отсутствие освещения в местах общего пользования,16
18162,Низкий уровень сигнала GSM,14
18164,Отсутствие освещения в местах общего пользования,39
18164,Загрязнение/замусоренность подъезда,21
18165,Отсутствуют актуальные мгновенные значения,235
18165,Нет питания УСПД,69
18166,Отсутствуют актуальные мгновенные значения,16
18166,Аварийная протечка с кровли,13
18167,Нет связи с ПУ,271
18167,Загрязнение/замусоренность подъезда,14
18168,Низкий уровень сигнала GSM,41
18168,Отсутствие освещения в местах общего пользования,27
18169,Низкий уровень сигнала GSM,30
18169,Повреждение системы электропроводки/щитового оборудования,20
18170,Отсутствуют актуальные суточные значения,27
18170,Низкий уровень сигнала GSM,26
18171,Протечка с кровли,14
18171,Аварийная протечка с кровли,11
18172,Отсутствие освещения в местах общего пользования,32
18172,Температура в квартире ниже нормативной,20
18173,Отсутствие освещения в местах общего пользования,44
18173,Низкий уровень сигнала GSM,31
18174,Отсутствие освещения в местах общего пользования,33
18174,Лифт требует ремонта,28
18175,Отсутствие освещения в местах общего пользования,30
18175,Отсутствуют актуальные мгновенные значения,11
18176,Отсутствие освещения в местах общего пользования,26
18176,Засор канализации,20
18177,Отсутствие освещения в местах общего пользования,32
18177,Загрязнение/замусоренность подъезда,22
18178,Отсутствие освещения в местах общего пользования,29
18178,Отсутствуют актуальные мгновенные значения,22
18179,Отсутствие освещения в местах общего пользования,32
18179,Лифт требует ремонта,29
18180,Отсутствие освещения в местах общего пользования,46
18180,Отсутствие ХВС в доме,14
18181,Отсутствуют актуальные суточные значения,19
18181,Отсутствуют актуальные мгновенные значения,13
18182,Низкий уровень сигнала GSM,39
18182,Температура в квартире ниже нормативной,21
18183,Отсутствуют актуальные суточные значения,33
18183,Отсутствуют актуальные мгновенные значения,18
18184,Отсутствие освещения в местах общего пользования,24
18184,Отсутствуют актуальные мгновенные значения,20
18185,Загрязнение/замусоренность подъезда,21
18185,Отсутствие освещения в местах общего пользования,18
18186,Отсутствуют актуальные мгновенные значения,8
18186,Отсутствуют актуальные суточные значения,8
18187,Аварийная протечка с кровли,42
18187,Протечка с кровли,31
18188,Протечка с кровли,22
18188,Низкий уровень сигнала GSM,14
18189,Отсутствие освещения в местах общего пользования,18
18189,Протечка с кровли,11
18190,Отсутствуют актуальные мгновенные значения,16
18190,Отсутствие освещения в местах общего пользования,14
18191,Низкий уровень сигнала GSM,16
18191,Отсутствуют актуальные суточные значения,15
18192,Отсутствуют актуальные мгновенные значения,386
18192,Температура в квартире ниже нормативной,16
18193,Отсутствуют актуальные мгновенные значения,20
18193,Загрязнение/замусоренность подъезда,16
18194,Нет связи с ПУ,283
18194,Загрязнение/замусоренность подъезда,19
18195,Низкий уровень сигнала GSM,56
18195,Отсутствие освещения в местах общего пользования,19
18196,Нет связи с ПУ,341
18196,Засор канализации,13
18227,Температура в квартире ниже нормативной,18
18227,Отсутствует циркуляция ГВС,13
18228,Низкий уровень сигнала GSM,18
18228,Лифт требует ремонта,11
18229,Засор канализации,8
18229,Отсутствуют актуальные мгновенные значения,7
18230,Низкий уровень сигнала GSM,20
18230,Отсутствие освещения в местах общего пользования,13
18231,Низкий уровень сигнала GSM,17
18231,Отсутствуют актуальные мгновенные значения,8
18232,Низкий уровень сигнала GSM,9
18232,Изменение конфигурации УСПД,4
18328,Низкий уровень сигнала GSM,37
18328,Отсутствуют актуальные мгновенные значения,9
18329,Отсутствие освещения в местах общего пользования,11
18329,Отсутствуют актуальные мгновенные значения,6
18488,Температура в квартире ниже нормативной,49
18488,Отсутствуют актуальные мгновенные значения,21
18489,Нет связи с УСПД,51
18489,Отсутствуют актуальные мгновенные значения,30
18490,Температура в квартире ниже нормативной,19
18490,Повреждение элементов входной двери,11
18491,Загрязнение/замусоренность подъезда,32
18491,Отсутствие ХВС в доме,9
18492,Температура в квартире ниже нормативной,23
18492,Отсутствуют актуальные мгновенные значения,21
18493,Загрязнение/замусоренность подъезда,3
18493,Неисправность запирающего устройства,3
18494,Отсутствуют актуальные мгновенные значения,34
18494,Загрязнение/замусоренность подъезда,25
18495,Отсутствуют актуальные мгновенные значения,28
18495,Температура в квартире ниже нормативной,22
18496,Отсутствуют актуальные суточные значения,45
18496,Низкий уровень сигнала GSM,34
18497,Отсутствуют актуальные мгновенные значения,22
18497,Неочищенная кровля,18
18498,Протечка с кровли,14
18498,Неочищенная кровля,13
18499,Отсутствует циркуляция ГВС,28
18499,Отсутствуют актуальные мгновенные значения,20
18500,Отсутствуют актуальные суточные значения,74
18500,Отсутствуют актуальные мгновенные значения,48
18501,Отсутствует циркуляция ГВС,20
18501,Низкий уровень сигнала GSM,15
18502,Низкий уровень сигнала GSM,42
18502,Отсутствуют актуальные суточные значения,28
18503,Температура в квартире ниже нормативной,37
18503,Низкий уровень сигнала GSM,22
18504,Неочищенная кровля,17
18504,Температура в квартире ниже нормативной,17
18505,Лифт требует ремонта,38
18505,Отсутствие освещения в местах общего пользования,21
18506,Низкий уровень сигнала GSM,30
18506,Температура в квартире ниже нормативной,19
18507,Температура в квартире ниже нормативной,19
18507,Низкий уровень сигнала GSM,15
18508,Повреждение системы электропроводки/щитового оборудования,11
18508,Загрязнение/замусоренность подъезда,6
18509,Температура в квартире ниже нормативной,20
18509,Отсутствуют актуальные мгновенные значения,16
18510,Отсутствуют актуальные мгновенные значения,26
18510,Лифт требует ремонта,21
18511,Отсутствует циркуляция ГВС,36
18511,Отсутствие освещения в местах общего пользования,21
18512,Нет связи с ПУ,382
18512,Отсутствие освещения в местах общего пользования,23
18513,Температура в квартире ниже нормативной,22
18513,Отсутствие освещения в местах общего пользования,19
18514,Отсутствуют актуальные мгновенные значения,19
18514,Отсутствуют актуальные суточные значения,15
18515,Отсутствуют актуальные мгновенные значения,16
18515,Температура в квартире ниже нормативной,12
18516,Лифт требует ремонта,41
18516,Отсутствуют актуальные мгновенные значения,28
18517,Загрязнение/замусоренность подъезда,19
18517,Неочищенная кровля,18
18518,Температура в квартире ниже нормативной,38
18518,Лифт требует ремонта,23
18519,Температура в квартире ниже нормативной,20
18519,Загрязнение/замусоренность подъезда,10
18520,Низкий уровень сигнала GSM,27
18520,Отсутствуют актуальные мгновенные значения,10
18521,Отсутствие освещения в местах общего пользования,60
18521,Температура в квартире ниже нормативной,45
18522,Отсутствуют актуальные мгновенные значения,16
18522,Отсутствуют актуальные суточные значения,12
18523,Низкий уровень сигнала GSM,31
18523,Температура в квартире ниже нормативной,28
18524,Отсутствуют актуальные суточные значения,23
18524,Отсутствуют актуальные мгновенные значения,12
18525,Отсутствуют актуальные суточные значения,126
18525,Отсутствуют актуальные мгновенные значения,16
18526,Отсутствуют актуальные мгновенные значения,37
18526,Нет связи с ПУ,11
18527,Низкий уровень сигнала GSM,51
18527,Температура в квартире ниже нормативной,28
18528,Температура в квартире ниже нормативной,14
18528,Повреждение элементов входной двери,9
18529,Отсутствуют актуальные мгновенные значения,22
18529,Температура в квартире ниже нормативной,16
18530,Отсутствуют актуальные мгновенные значения,854
18530,Нет связи с УСПД,174
18531,Загрязнение/замусоренность подъезда,17
18531,Отсутствуют актуальные мгновенные значения,10
18532,Температура в квартире ниже нормативной,15
18532,Засор канализации,5
18533,Недогрев ГВС,10
18533,Температура ГВС ниже нормы,10
18534,Отсутствуют актуальные суточные значения,33
18534,Протечка с кровли,17
18535,Отсутствуют актуальные мгновенные значения,47
18535,Температура в квартире ниже нормативной,21
18536,Температура в квартире ниже нормативной,39
18536,Загрязнение/замусоренность подъезда,35
18537,Отсутствие освещения в местах общего пользования,25
18537,Загрязнение/замусоренность подъезда,22
18538,Отсутствуют актуальные мгновенные значения,32
18538,Низкий уровень сигнала GSM,21
18539,Отсутствуют актуальные суточные значения,129
18539,Отсутствие освещения в местах общего пользования,26
18540,Засор канализации,21
18540,Отсутствуют актуальные мгновенные значения,18
18541,Отсутствие освещения в местах общего пользования,32
18541,Температура в квартире ниже нормативной,20
18542,Отсутствие освещения в местах общего пользования,11
18542,Отсутствуют актуальные мгновенные значения,6
18543,Отсутствуют актуальные мгновенные значения,34
18543,Низкий уровень сигнала GSM,14
18544,Отсутствие освещения в местах общего пользования,11
18544,Отсутствуют актуальные мгновенные значения,7
18545,Температура в квартире ниже нормативной,19
18545,Отсутствие освещения в местах общего пользования,18
18546,Температура в квартире ниже нормативной,28
18546,Лифт требует ремонта,24
18547,Температура в квартире ниже нормативной,32
18547,Лифт требует ремонта,16
18548,Отсутствуют актуальные мгновенные значения,14
18548,T1 > max,12
18549,"Засоры, засор на дворовой сети",3
18551,Расхождение времени ПУ,12
18551,Неочищенная кровля,10
18552,Отсутствуют актуальные мгновенные значения,13
18552,Отсутствие освещения в местах общего пользования,12
18553,Отсутствуют актуальные мгновенные значения,14
18553,Засор канализации,11
18554,Отсутствует циркуляция ГВС,32
18554,Отсутствуют актуальные мгновенные значения,28
18555,Отсутствуют актуальные мгновенные значения,18
18555,Аварийная протечка с кровли,15
18556,Отсутствует циркуляция ГВС,26
18556,Низкий уровень сигнала GSM,21
18557,Отсутствует циркуляция ГВС,33
18557,Повреждение инженерных сетей,26
18558,Температура в квартире ниже нормативной,17
18558,Отсутствуют актуальные суточные значения,10
18559,Температура ГВС ниже нормы,45
18559,Отсутствуют актуальные мгновенные значения,16
18560,Нет питания УСПД,17
18560,Отсутствуют актуальные суточные значения,17
18561,Отсутствуют актуальные мгновенные значения,12
18561,Нет связи с УСПД,7
18562,Отсутствуют актуальные суточные значения,23
18562,Неочищенная кровля,13
18563,Температура в квартире ниже нормативной,20
18563,Засор канализации,8
18564,Отсутствует циркуляция ГВС,31
18564,Повреждение элементов входной двери,19
18566,Отсутствуют актуальные суточные значения,17
18566,Отсутствуют актуальные мгновенные значения,15
18567,Отсутствует циркуляция ГВС,31
18567,Отсутствуют актуальные суточные значения,21
18568,Аварийная протечка с кровли,20
18568,Отсутствуют актуальные мгновенные значения,16
18569,Температура в квартире ниже нормативной,8
18569,Засор канализации,6
18570,Повреждение инженерных сетей,16
18570,Отсутствие освещения в местах общего пользования,9
18571,Температура в квартире ниже нормативной,11
18571,Загрязнение/замусоренность подъезда,6
18572,Нет связи с ПУ,529
18572,T1 < min,65
18574,Лифт требует ремонта,82
18574,Температура в квартире ниже нормативной,38
18575,Отсутствуют актуальные мгновенные значения,22
18575,Отсутствуют актуальные суточные значения,18
18576,Нет связи с ПУ,320
18576,Отсутствуют актуальные суточные значения,29
18577,Температура в квартире ниже нормативной,27
18577,Отсутствует циркуляция ГВС,8
18579,Отсутствуют актуальные мгновенные значения,20
18579,Отсутствует циркуляция ГВС,18
18580,"Засоры, засор на дворовой сети",2
18580,Застревание в лифте,2
18581,Низкий уровень сигнала GSM,41
18581,Отсутствуют актуальные мгновенные значения,30
18582,Отсутствие освещения в местах общего пользования,48
18582,Отсутствует циркуляция ГВС,27
18583,Лифт требует ремонта,14
18583,Отсутствуют актуальные мгновенные значения,14
18584,Температура ГВС ниже нормы,121
18584,Отсутствуют актуальные мгновенные значения,100
18585,Отсутствие освещения в местах общего пользования,36
18585,Засор мусоропровода,29
18586,Отсутствуют актуальные мгновенные значения,34
18586,Нет связи с ПУ,24
18588,Отсутствие освещения в местах общего пользования,25
18588,Низкий уровень сигнала GSM,15
18589,Неочищенная кровля,7
18589,Отсутствие освещения в местах общего пользования,4
18590,Отсутствует циркуляция ГВС,28
18590,Низкий уровень сигнала GSM,16
18591,Неочищенная кровля,4
18591,Отсутствие освещения в местах общего пользования,3
18592,Отсутствуют актуальные суточные значения,23
18592,Температура в квартире ниже нормативной,13
18593,Отсутствуют актуальные мгновенные значения,12
18593,Нет связи с УСПД,11
18595,Температура в квартире ниже нормативной,61
18595,Отсутствие освещения в местах общего пользования,5
18596,Низкий уровень сигнала GSM,32
18596,Недогрев ГВС,25
18597,Низкий уровень сигнала GSM,55
18597,Отсутствуют актуальные суточные значения,20
18598,Низкий уровень сигнала GSM,30
18598,Отсутствуют актуальные мгновенные значения,12
18599,Отсутствуют актуальные мгновенные значения,12
18599,Отсутствуют актуальные суточные значения,10
18600,Низкий уровень сигнала GSM,23
18600,Отсутствуют актуальные мгновенные значения,21
18601,Лифт требует ремонта,32
18601,Температура в квартире ниже нормативной,27
18602,Отсутствуют актуальные мгновенные значения,86
18602,Отсутствуют актуальные суточные значения,53
18603,Температура в квартире ниже нормативной,67
18603,Неочищенная кровля,14
18604,Отсутствует циркуляция ГВС,103
18604,Отсутствуют актуальные мгновенные значения,28
18605,Отсутствуют актуальные мгновенные значения,89
18605,Отсутствует циркуляция ГВС,19
18606,Температура в квартире ниже нормативной,62
18606,Отсутствуют актуальные мгновенные значения,21
18608,Нет связи с ПУ,365
18608,Отсутствие освещения в местах общего пользования,27
18609,Температура в квартире ниже нормативной,29
18609,Отсутствие освещения в местах общего пользования,18
18610,Отсутствуют актуальные суточные значения,222
18610,Отсутствуют актуальные мгновенные значения,48
18611,Температура в квартире ниже нормативной,118
18611,Отсутствует циркуляция ГВС,23
18612,Неочищенная кровля,35
18612,Низкий уровень сигнала GSM,30
18613,Низкий уровень сигнала GSM,18
18613,Неочищенная кровля,15
18614,T1 < min,90
18614,T1 > max,22
18615,Нет связи с ПУ,470
18615,Повреждение элементов входной двери,17
18616,T1 < min,23
18616,T1 > max,9
18617,Нет связи с ПУ,947
18617,Низкий уровень сигнала GSM,52
18618,Отсутствуют актуальные мгновенные значения,31
18618,Отсутствие освещения в местах общего пользования,16
18619,Загрязнение/замусоренность подъезда,29
18619,Расхождение времени ПУ,14
18620,Нет связи с ПУ,23
18620,Отсутствие освещения в местах общего пользования,18
18621,Отсутствуют актуальные мгновенные значения,70
18621,Низкий уровень сигнала GSM,29
18622,Отсутствуют актуальные мгновенные значения,85
18622,Отсутствие освещения в местах общего пользования,23
18623,Протечка с кровли,24
18623,Низкий уровень сигнала GSM,23
18624,Отсутствуют актуальные мгновенные значения,73
18624,Отсутствие освещения в местах общего пользования,15
18625,Отсутствует циркуляция ГВС,80
18625,Протечка с кровли,21
18626,Отсутствуют актуальные мгновенные значения,29
18626,Нет связи с ПУ,21
18627,Отсутствует циркуляция ГВС,52
18627,Отсутствие освещения в местах общего пользования,17
18628,Отсутствуют актуальные мгновенные значения,105
18628,Отсутствие освещения в местах общего пользования,14
18629,Отсутствуют актуальные мгновенные значения,44
18629,Нет связи с ПУ,41
18630,Низкий уровень сигнала GSM,26
18630,Отсутствует циркуляция ГВС,24
18633,Лифт требует ремонта,7
18633,"Засоры, засор на дворовой сети",2
18634,Лифт требует ремонта,5
18634,Загрязнение/замусоренность подъезда,1
18635,Лифт требует ремонта,2
18635,Загрязнение/замусоренность подъезда,1
18636,"Засоры, засор на дворовой сети",5
18636,Лифт требует ремонта,2
18637,Температура в квартире ниже нормативной,6
18637,Отсутствие освещения в местах общего пользования,5
18639,Отсутствие освещения в местах общего пользования,5
18639,Загрязнение/замусоренность подъезда,4
18640,Отсутствие освещения в местах общего пользования,55
18640,Отсутствуют актуальные суточные значения,23
18641,Повреждение элементов входной двери,6
18641,Температура в квартире ниже нормативной,6
18643,Отсутствует циркуляция ГВС,25
18643,Отсутствуют актуальные суточные значения,17
18644,Низкий уровень сигнала GSM,32
18644,Загрязнение/замусоренность подъезда,4
18645,Отсутствие освещения в местах общего пользования,22
18645,Отсутствуют актуальные суточные значения,17
18646,Низкий уровень сигнала GSM,31
18646,Отсутствуют актуальные суточные значения,30
18647,Загрязнение/замусоренность подъезда,45
18647,Отсутствие ХВС в доме,14
18648,Температура в квартире ниже нормативной,54
18648,Отсутствие освещения в местах общего пользования,9
18649,Отсутствие освещения в местах общего пользования,6
18649,Отсутствие ГВС в доме,4
18650,Температура в квартире ниже нормативной,15
18650,Отсутствие освещения в местах общего пользования,8
18651,Отсутствуют актуальные мгновенные значения,19
18651,Отсутствуют актуальные суточные значения,8
18652,Температура в квартире ниже нормативной,5
18652,Отсутствие освещения в местах общего пользования,4
18653,Температура в квартире ниже нормативной,64
18653,Отсутствие освещения в местах общего пользования,60
18654,Температура в квартире ниже нормативной,13
18654,Неочищенная кровля,4
18655,Неочищенная кровля,8
18655,Протечка с кровли,6
18656,Отсутствуют актуальные суточные значения,13
18656,Температура ГВС ниже нормы,13
18657,Отсутствуют актуальные мгновенные значения,18
18657,Отсутствует циркуляция ГВС,10
18658,Отсутствие освещения в местах общего пользования,10
18658,Загрязнение/замусоренность подъезда,7
18659,Отсутствуют актуальные мгновенные значения,726
18659,Отсутствуют актуальные суточные значения,23
18660,Отсутствуют актуальные мгновенные значения,218
18660,Нет связи с УСПД,47
18661,Отсутствуют актуальные мгновенные значения,18
18661,Отсутствуют актуальные суточные значения,13
18662,Отсутствует циркуляция ГВС,26
18662,Низкий уровень сигнала GSM,25
18663,Отсутствуют актуальные суточные значения,40
18663,Отсутствует циркуляция ГВС,15
18664,Отсутствуют актуальные суточные значения,35
18664,Отсутствует циркуляция ГВС,33
18665,Низкий уровень сигнала GSM,32
18665,Отсутствуют актуальные мгновенные значения,25
18666,Отсутствие освещения в местах общего пользования,32
18666,Лифт требует ремонта,30
18667,Отсутствуют актуальные мгновенные значения,20
18667,Отсутствуют актуальные суточные значения,14
18668,Отсутствует циркуляция ГВС,52
18668,Отсутствуют актуальные суточные значения,14
18669,Низкий уровень сигнала GSM,14
18669,Отсутствие освещения в местах общего пользования,13
18670,Отсутствует циркуляция ГВС,29
18670,Отсутствие освещения в местах общего пользования,21
18671,Лифт требует ремонта,9
18671,Отсутствие освещения в местах общего пользования,8
18672,Запах газа в кухне,1
18673,Отсутствуют актуальные суточные значения,49
18673,Отсутствует циркуляция ГВС,23
18674,Отсутствие освещения в местах общего пользования,194
18674,Лифт требует ремонта,80
18675,Отсутствие освещения в местах общего пользования,115
18675,Температура в квартире ниже нормативной,73
18676,Лифт требует ремонта,95
18676,Температура в квартире ниже нормативной,38
18677,Отсутствие освещения в местах общего пользования,372
18677,Открыт шкаф УСПД,360
18678,Температура ГВС ниже нормы,17
18678,Низкий уровень сигнала GSM,8
18679,Отсутствие ГВС в доме,33
18679,Лифт требует ремонта,21
18680,Отсутствуют актуальные мгновенные значения,32
18680,Низкий уровень сигнала GSM,17
18681,Отсутствуют актуальные мгновенные значения,24
18681,Отсутствуют актуальные суточные значения,20
18682,Нет связи с ПУ,400
18682,Отсутствуют актуальные мгновенные значения,20
18683,Расхождение времени ПУ,64
18683,Отсутствуют актуальные мгновенные значения,44
18684,Неочищенная кровля,12
18684,Отсутствуют актуальные суточные значения,12
18685,Отсутствие освещения в местах общего пользования,10
18685,Температура в квартире ниже нормативной,9
18686,Отсутствуют актуальные суточные значения,16
18686,Отсутствие освещения в местах общего пользования,12
18687,Нет связи с ПУ,1513
18687,Отсутствуют актуальные суточные значения,31
18688,Лифт требует ремонта,73
18688,Неочищенная кровля,50
18689,Нет связи с ПУ,419
18689,Лифт требует ремонта,98
18690,Отсутствуют актуальные мгновенные значения,29
18690,Загрязнение/замусоренность подъезда,18
18691,Температура в квартире ниже нормативной,21
18691,Повреждение элементов фасада,17
18692,Отсутствует циркуляция ГВС,15
18692,Отсутствуют актуальные мгновенные значения,12
18693,Отсутствие освещения в местах общего пользования,21
18693,Отсутствуют актуальные мгновенные значения,13
18694,Отсутствуют актуальные мгновенные значения,19
18694,Отсутствуют актуальные суточные значения,7
18695,Отсутствие освещения в местах общего пользования,28
18695,Температура в квартире ниже нормативной,21
18696,Отсутствие освещения в местах общего пользования,26
18696,Повреждение элементов входной двери,14
18697,Температура в квартире ниже нормативной,55
18697,Загрязнение/замусоренность подъезда,26
18699,Низкий уровень сигнала GSM,31
18699,Отсутствие освещения в местах общего пользования,17
18700,Низкий уровень сигнала GSM,19
18700,Отсутствуют актуальные суточные значения,14
18701,Нет связи с ПУ,14
18701,Изменение конфигурации УСПД,6
18702,Протечка с кровли,15
18702,Аварийная протечка с кровли,6
18703,Нет питания УСПД,2916
18703,Открыт шкаф УСПД,90
18704,Отсутствуют актуальные суточные значения,16
18704,Отсутствуют актуальные мгновенные значения,10
18705,Отсутствуют актуальные мгновенные значения,21
18705,Нет связи с ПУ,13
18706,Загрязнение/замусоренность подъезда,28
18706,Низкий уровень сигнала GSM,15
18707,Низкий уровень сигнала GSM,26
18707,Отсутствуют актуальные суточные значения,23
18708,Отсутствуют актуальные суточные значения,172
18708,Отсутствует циркуляция ГВС,74
18709,Отсутствие освещения в местах общего пользования,14
18709,Температура ГВС ниже нормы,13
18710,Отсутствуют актуальные мгновенные значения,104
18710,Температура в квартире ниже нормативной,39
18711,Низкий уровень сигнала GSM,38
18711,Отсутствие освещения в местах общего пользования,28
18712,Отсутствуют актуальные суточные значения,21
18712,Низкий уровень сигнала GSM,18
18713,Отсутствие освещения в местах общего пользования,39
18713,T1 > max,35
18714,Отсутствуют актуальные суточные значения,44
18714,Низкий уровень сигнала GSM,18
18715,Температура в квартире ниже нормативной,41
18715,Отсутствие ХВС в доме,16
18716,Отсутствуют актуальные мгновенные значения,52
18716,Температура в квартире ниже нормативной,33
18717,Низкий уровень сигнала GSM,27
18717,Нет связи с ПУ,16
18718,Низкий уровень сигнала GSM,6
18718,Нет связи с ПУ,5
18719,Отсутствуют актуальные суточные значения,83
18719,Отсутствуют актуальные мгновенные значения,26
18720,Отсутствует циркуляция ГВС,12
18720,Повреждение элементов входной двери,12
18721,Низкий уровень сигнала GSM,12
18721,Отсутствуют актуальные мгновенные значения,7
18722,Отсутствуют актуальные мгновенные значения,16
18722,Загрязнение/замусоренность подъезда,14
18723,Температура в квартире ниже нормативной,30
18723,Аварийная протечка с кровли,15
18724,Отсутствуют актуальные мгновенные значения,20
18724,Повреждение элементов входной двери,18
18725,Отсутствие освещения в местах общего пользования,19
18725,Повреждение элементов входной двери,13
18726,Отсутствуют актуальные суточные значения,30
18726,Отсутствуют актуальные мгновенные значения,28
18727,Нет связи с ПУ,45
18727,Отсутствуют актуальные мгновенные значения,34
18728,Отсутствие освещения в местах общего пользования,20
18728,Повреждение элементов входной двери,13
18729,Отсутствуют актуальные суточные значения,21
18729,Отсутствуют актуальные мгновенные значения,16
18730,Низкий уровень сигнала GSM,22
18730,Отсутствуют актуальные мгновенные значения,12
18732,Нет связи с ПУ,36
18732,Отсутствуют актуальные мгновенные значения,29
18733,Отсутствуют актуальные мгновенные значения,31
